,202,...2,...3,...4,codes,category,scheme,pre1,pre2,pre3,phrase,feature,subst,ar,regex,repl,regexcor,test
1,1,1,1,NA,#9 0 art/det#,2,1,%,0,AD,zero,article/determiner,%0AD: zero article/determiner,1,(#9 0 art/det#),%#%,(#9 0 art/det#),test3
2,2,2,2,6,# 9nst agmt#,1,9,%,N,AG,nonstandard,agreement,%NAG: nonstandard agreement,2,(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#),%#%,(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#),test3
3,3,3,3,17,# 9nst agmt#,1,9,%,N,AG,nonstandard,agreement,%NAG: nonstandard agreement,2,(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#),%#%,(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#),test3
4,4,4,4,76,9nst agmt,1,9,%,N,AG,nonstandard,agreement,%NAG: nonstandard agreement,2,(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#),%#%,(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#),test3
5,5,5,5,95,9nst agmt,1,9,%,N,AG,nonstandard,agreement,%NAG: nonstandard agreement,2,(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#),%#%,(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#),test3
6,6,6,6,141,9nst agmt,1,9,%,N,AG,nonstandard,agreement,%NAG: nonstandard agreement,2,(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#),%#%,(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#),test3
7,7,7,7,NA,#9nst agmt.#,1,1,%,N,AG,nonstandard,agreement,%NAG: nonstandard agreement,2,(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#),%#%,(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#),test3
8,8,8,8,NA,#9nst agmt#,1,1,%,N,AG,nonstandard,agreement,%NAG: nonstandard agreement,2,(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#),%#%,(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#),test3
9,9,9,9,NA,# 9nst agmt#,1,1,%,N,AG,nonstandard,agreement,%NAG: nonstandard agreement,2,(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#),%#%,(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#),test3
10,10,10,10,NA,# 90 art 90 prep#,2,1,%,0,AP,zero,article/preposition,%0AP: zero article/preposition,3,(# 90 art 90 prep#),%#%,(# 90 art 90 prep#),test3
11,11,11,11,4,prep 90 art#,2,9,%,0,AR,zero,article,%0AR: zero article,4,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),%#%,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),test3
12,12,12,12,8,90 art#,2,9,%,0,AR,zero,article,%0AR: zero article,4,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),%#%,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),test3
13,13,13,13,9,# 90 art.,2,9,%,0,AR,zero,article,%0AR: zero article,4,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),%#%,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),test3
14,14,14,14,15,prep 90 art#,2,9,%,0,AR,zero,article,%0AR: zero article,4,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),%#%,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),test3
15,15,15,15,19,90 art#,2,9,%,0,AR,zero,article,%0AR: zero article,4,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),%#%,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),test3
16,16,16,16,32,90 art,2,9,%,0,AR,zero,article,%0AR: zero article,4,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),%#%,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),test3
17,17,17,17,42,90 art,2,9,%,0,AR,zero,article,%0AR: zero article,4,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),%#%,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),test3
18,18,18,18,78,90 art,2,9,%,0,AR,zero,article,%0AR: zero article,4,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),%#%,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),test3
19,18,18,18,78,#90 art,2,9,%,0,AR,zero,article,%0AR: zero article,4,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),%#%,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),test3
20,19,19,19,79,90 art.,2,9,%,0,AR,zero,article,%0AR: zero article,4,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),%#%,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),test3
21,20,20,20,NA,#90 art.#,2,1,%,0,AR,zero,article,%0AR: zero article,4,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),%#%,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),test3
22,21,21,21,NA,#90 art#,2,1,%,0,AR,zero,article,%0AR: zero article,4,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),%#%,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),test3
23,22,22,22,NA,#9 0 art#,2,1,%,0,AR,zero,article,%0AR: zero article,4,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),%#%,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),test3
24,23,23,23,NA,#0 art#,2,1,%,0,AR,zero,article,%0AR: zero article,4,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),%#%,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),test3
25,24,24,24,NA,#90 art?#,2,1,%,0,AR,zero,article,%0AR: zero article,4,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),%#%,(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#),test3
26,25,25,25,NA,#9nst art#,1,1,%,N,AR,nonstandard,article,%NAR: nonstandard article,5,(#9nst art#),%#%,(#9nst art#),test3
27,26,26,26,NA,#90 aux #,2,1,%,0,AU,zero,auxiliary,%0AU: zero auxiliary,6,(#90 aux #),%#%,(#90 aux #),test3
28,27,27,27,NA,#9nst compar.#,1,1,%,N,CM,nonstandard,comparison,%NCM: nonstandard comparison,7,(#9nst compar\.#)|(#9nst compar#),%#%,(#9nst compar\.#)|(#9nst compar#),test3
29,28,28,28,NA,#9nst compar#,1,1,%,N,CM,nonstandard,comparison,%NCM: nonstandard comparison,7,(#9nst compar\.#)|(#9nst compar#),%#%,(#9nst compar\.#)|(#9nst compar#),test3
30,29,29,29,NA,#9nst conditional#,1,1,%,N,CN,nonstandard,conditional,%NCN: nonstandard conditional,8,(#9nst conditional#),%#%,(#9nst conditional#),test3
31,30,30,30,58,90 cop.,2,9,%,0,CP,zero,copula,%0CP: zero copula,9,(90 cop\.)|(#90 cop#)|(#90 cop\?#)|(#9 0 cop#),%#%,(90 cop\.)|(#90 cop#)|(#90 cop\?#)|(#9 0 cop#),test3
32,31,31,31,NA,#90 cop#,2,1,%,0,CP,zero,copula,%0CP: zero copula,9,(90 cop\.)|(#90 cop#)|(#90 cop\?#)|(#9 0 cop#),%#%,(90 cop\.)|(#90 cop#)|(#90 cop\?#)|(#9 0 cop#),test3
33,32,32,32,NA,#90 cop?#,2,1,%,0,CP,zero,copula,%0CP: zero copula,9,(90 cop\.)|(#90 cop#)|(#90 cop\?#)|(#9 0 cop#),%#%,(90 cop\.)|(#90 cop#)|(#90 cop\?#)|(#9 0 cop#),test3
34,33,33,33,NA,#9 0 cop#,2,1,%,0,CP,zero,copula,%0CP: zero copula,9,(90 cop\.)|(#90 cop#)|(#90 cop\?#)|(#9 0 cop#),%#%,(90 cop\.)|(#90 cop#)|(#90 cop\?#)|(#9 0 cop#),test3
35,34,34,34,NA,#9extra art#,1,1,%,N,EA,nonstandard,extra article,%NEA: nonstandard extra article,10,(#9extra art#),%#%,(#9extra art#),test3
36,35,35,35,NA,#9 0 existential#,2,1,%,0,EX,zero,existential,%0ES: zero existential,11,(#9 0 existential#),%#%,(#9 0 existential#),test3
37,36,36,36,NA,#9nst existential#,1,1,%,N,EX,nonstandard,existential,%NEX: nonstandard existential,12,(#9nst existential#),%#%,(#9nst existential#),test3
38,37,37,37,NA,9nst ext#,1,9,%,N,EX,nonstandard,existential,%NEX: nonstandard existential,13,(9nst ext#)|(9nst ext#),%#%,(9nst ext#)|(9nst ext#),test3
39,38,38,38,NA,9nst ext#,1,1,%,N,EX,nonstandard,existential,%NEX: nonstandard existential,13,(9nst ext#)|(9nst ext#),%#%,(9nst ext#)|(9nst ext#),test3
40,39,39,39,11,# 9nst#,1,9,%,N,NS,nonstandard,not specified,%NGG: nonstandard general,14,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),%#%,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),test3
